,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
198195,2429802.0,CC1=CC(=C(N1CC2=CC=CO2)C)C(=O)COC(=O)C3=CC=NC=C3,Inactive
43782,654938.0,CCOC(=O)C1=C(N2C(=C(C(=N2)C)C3=CC=CC=C3)N=C1)N,Inactive
199204,4876732.0,CCC(C)N(C1CCS(=O)(=O)C1)C(=O)CSC2=CC=C(C=C2)NC(=O)C,Inactive
329543,16009567.0,CC1CN(CCN1C2=CC=C(C=C2)C)C(=O)C3CCN(CC3)S(=O)(=O)C4=CC5=C(C=C4)N(C(=O)O5)C,Inactive
175671,6603109.0,CCC(C1=NN=NN1CC2=CC=CS2)N3CCN(CC3)C4CCCC4.Cl,Inactive
171517,645243.0,CCOC(=O)N1CCN(CC1)S(=O)(=O)C2=C(C=C(C=C2C)C)C,Inactive
285499,24816513.0,C1CCN(CC1)C(=O)C2(CC=CC2)S(=O)(=O)C3=CC=CC=C3,Inactive
178394,661391.0,C1CC1C(=O)C2=C(C3=CC=CC=C3O2)NC(=O)CSCCC(=O)O,Inactive
147183,995523.0,CC1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)C(F)F)C(=O)NC4=CC=C(C=C4)S(=O)(=O)NC5=CC=CC=C5C,Inactive
137980,3763290.0,CC(C)N(C(C)C)C(=O)C(=O)C1=CC=CN1C2=CC=CC=C2C#N,Inactive
265929,3597986.0,COC(=O)C1=CC(=C(C=C1)N2CCN(CC2)S(=O)(=O)C3=CC=CC=C3)[N+](=O)[O-],Inactive
267782,3744897.0,CCOC1=CC=CC=C1C2C3=CC4=C(C=C3NC5=C2C(=O)OC5)OCO4,Inactive
280549,7526328.0,COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC3=C4C(=C2)CCN4C(=O)CC3)OC,Inactive
299672,3247252.0,COC(=O)[C@]1([C@@H]2[C@@H](CC3=C2C=C(N3CC4CC4)C(=O)N5CCCC5)CN1C(=O)C6=CC=CC=C6)CC7=CC=C(C=C7)F,Inactive
288489,352495.0,C1CN(C(=O)N(C1=O)Cl)Cl,Inactive
138481,947086.0,CC1=C(C(=C2C(=N1)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)OC)C#N,Inactive
279056,18575190.0,CCNC1=NC2=NN=C(N2C(=N1)NCC)SCC(=O)NC3=CC=C(C=C3)NC(=O)C,Inactive
233162,49778592.0,CC(=O)NC1=CC=CC(=C1)C2=C3CC(OC3=NC=C2)(C)C(=O)NC4=CC=C(C=C4)Cl,Inactive
283253,5219690.0,CC1=CSC2=NC=C(C(=O)N12)C(=O)NCC3=CC=CC=N3,Inactive
26424,149241.0,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=CC(=C4)C(=O)O,Inactive
229981,135512265.0,CC(C(=O)NCC1=CC=C(C=C1)F)N=C2C3=CC=CC=C3S(=O)(=O)N2,Inactive
51149,3387577.0,CCC1=C(C(=CC=C1)CC)NC(=S)N(CCN(C)C)C(C)C2=CN=CC=C2,Inactive
198768,2574711.0,CC(C)CN1C(=O)C(=O)N(C1=O)CC(=O)N2CCC(CC2)CC3=CC=CC=C3,Inactive
163813,2962140.0,CCOC(=O)C1=C(NC(=O)C1(C(F)(F)F)NC(=O)C2=CN=CC=C2)C,Inactive
281015,7593190.0,COC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)C3=NN=C(C=C3)N4CCOCC4)OC,Inactive
333888,1122404.0,COC1=CC=CC=C1CN2CCN(CC2)C(=O)C3=CC=CC4=CC=CC=C43,Inactive
330992,16022278.0,COC1=CC(=CC(=C1OC)OC)C(CC(=O)NC2=C(C=C(C=C2)F)F)N3CC4=CC=CC=C4C3=O,Inactive
267134,3800287.0,CCCCS(=O)C1=C(N=NS1)C,Inactive
335422,135550926.0,CC1CCCCC1NC(=O)C(C)OC(=O)CCCN=C2C3=CC=CC=C3S(=O)(=O)N2,Inactive
235096,49790013.0,CCNC(=S)NC1=CC2=C(C=C1)N(N(C2=O)C)CC3=CC=C(C=C3)Cl,Inactive
292611,2921.0,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,Inactive
237531,49795289.0,CC(=O)C1=CC=CC(=C1)C2=C3CC(OC3=NC=C2)C(=O)NCC4=CC=CC=C4,Inactive
144868,3967407.0,CC1=CC(=CC=C1)N2C(=O)C3C(C2=O)C4(C(=O)C5=CC=CC=C5C4=O)OC3C6=CC=CC=C6,Inactive
61682,3240872.0,C1CCCN(CC1)CCCNC(=O)CCN2C(=O)C=CC(=N2)C3=CC=C(C=C3)Cl,Inactive
271258,365206.0,CC1=CC(=NN1C2=C3C=CC(=CC3=NC=C2)Cl)C,Inactive
47667,3109038.0,C1=CC=C(C=C1)CNC(=O)C(CC2=CC=C(C=C2)Cl)CC(=O)O,Inactive
164820,762206.0,CCN1C(=NN=C1SCC(=O)O)CC2=CC=CC=C2,Inactive
171036,2294288.0,CCCCOC1=CC=C(C=C1)CC2C(=O)N(C(=O)N(C2=O)C)C,Inactive
39468,3174311.0,CC(C(=O)NC1CCCCC1)N(CC2=CC=C(C=C2)F)C(=O)C3=C(C(=NS3)C(=O)N)N,Inactive
261061,1716838.0,C1=CC=C(C(=C1)C(=O)NC(C(F)(F)F)(C(F)(F)F)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-])Cl,Inactive
359578,135576611.0,CC1=CC(=O)NC(=N1)N/N=C(\C)/C2=CC=C(C=C2)N3C=CN=C3,Inactive
193868,4635383.0,CC1=CN=C(C=N1)C(=O)OCC(=O)NC(C)CCC2=CC=CC=C2,Inactive
292894,428373.0,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NCCC(=O)OC(C(=O)N2CCCC2C(=O)N1)CC(C)C)C)C)C(C)C)C,Inactive
293591,262998.0,CC(C1=CC=CC=C1)NC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Inactive
337709,16291902.0,CC1=CC=C(C=C1)/C=C/S(=O)(=O)NCC(=O)OCC(=O)NC2=CC=C(C=C2)C(=O)N,Inactive
